name,longitude,latitude,city,country,description,imageUrl,hotelWebsite,letJackHelp
Hotel Bennett,-79.93680129,32.7872929,Charleston,USA,"A trendy haven in Charleston, where millennials flock for stylish vibes and modern luxuries. Always in the know, always in style.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/13768ce8-c7f6-432a-99f4-0347993312b5/download+%281%29.jpeg?format=1000w,hotelbennett.com,https://www.jsltravelagent.com/clientintake
Zero George,22.4559413,-33.9492351,Charleston,USA,"Gray brick charm meets old-school vibes, with a touch of elegance. Rent a bike, and enjoy the perfect mix of history and relaxation.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/871fbd4b-b3ce-43be-b884-fac391f23284/19783539.jpg?format=750w,zerogeorge.com,https://www.jsltravelagent.com/clientintake
The Restoration,0.1922391,51.2711503,Charleston,USA,"A signature Charleston icon with its bold, light-blue entrance. This spot captures Southern elegance and hospitality at its finest.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/3a60c5e2-392a-4b57-997e-1d34834e6c9b/181a9c3a.jpeg?format=1000w,therestorationhotel.com,https://www.jsltravelagent.com/clientintake
The Loutrel,-79.9399309,32.7884363,Charleston,USA,"A hidden gem Jack Logan stumbled uponÑperfectly curated and tucked into the right corner of Charleston. Gorgeous, unique, and truly one of a kind.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1b7f310f-077b-4c00-a0a8-384c87cdeb5e/1327601.jpg?format=750w,theloutrel.com,https://www.jsltravelagent.com/clientintake
W Nashville,-86.8463888,36.158946,Nashville,USA,"This hot spot in the Gulch is where architecture meets fun. A trendy, happening hotel thatÕs always buzzing.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a598f622-ebf0-4b2d-93d1-d16c0ca89055/W-Nashville_Exterior_%C2%A9Michael-Kleinberg.jpeg?format=1000w,marriott.com/en-us/hotels/bnaaw-w-nashville,https://www.jsltravelagent.com/clientintake
The Thompson Nashville,-86.78408384,36.15244515,Nashville,USA,"A personal favoriteÑthis chic Nashville stay offers stunning views, especially from a corner suite. A perfect city retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/39dca9c1-bd2c-46d2-a2f2-21432a5ada9f/13855fdadf892fe9d16536e06c80babf.jpg?format=750w,hyatt.com/en-US/hotel/tennessee/thompson-nashville/bnata,https://www.jsltravelagent.com/clientintake
The Grand Hotel Golf Resort & Spa,-87.9347164,30.48460035,Point Clear,USA,"An Alabama getaway filled with southern charm, activities galore, and a relaxed luxury vibe. Perfect for that big, luxury Southern retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/63df2ac7-0507-4f5e-92f5-02e6648b1409/1.jpg?format=1000w,grand1847.com,https://www.jsltravelagent.com/clientintake
Montage Deer Valley,-111.511548,40.6159841,Park City,USA,Snow-covered elegance meets cozy luxury in this Deer Valley treasure. Shop their cozy apparel and bask in wintery goodness.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1a60db81-0f3c-448f-8d27-052077c56b62/1920-x-1200-MDV-Winter-Signature-1920x1080.jpg?format=1000w,montagehotels.com/deervalley,https://www.jsltravelagent.com/clientintake
Amangiri,-111.6374209,37.0369405,Canyon Point,USA,"World-renowned and jaw-dropping, with scenery that will leave you breathless in the Utah desert. This is where nature and luxury collide.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/65d0cef5-25ea-40b5-903c-d64f71d4375d/210204_AmanHero_Landscape_Amangiri.jpeg?format=1000w,aman.com/resorts/amangiri,https://www.jsltravelagent.com/clientintake
L'Auberge de Sedona,-111.7596366,34.8687,Sedona,USA,A luxurious desert escape with all the fancy touches you expect. Desert chic at its finest.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/bf1755a1-e5fe-4bfd-a838-edafb44e33da/cocktail-hour_51_157978_v2.jpeg?format=750w,lauberge.com/sedona,https://www.jsltravelagent.com/clientintake
Enchantment Resort,-111.8535764,34.9143134,Sedona,USA,"A massive resort complex tucked into the stunning desert landscape. Enormous, beautiful, and impossible to forget.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/dd64198f-d07d-46a2-ae6e-14545d11afd3/enchantment-resort-pool.jpg?format=750w,enchantmentresort.com,https://www.jsltravelagent.com/clientintake
The Langham Chicago,-87.6275117,41.8884239,Chicago,USA,"A bright, naturally lit gem in ChicagoÕs luxury hotel scene. Perfect location, perfect standardÑjust what youÕd expect from a world-class stay.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1c954e88-4fd6-4816-862e-84974507b5f3/the-langham-chicago.jpg?format=750w,langhamhotels.com/en/the-langham/chicago,https://www.jsltravelagent.com/clientintake
