name,longitude,latitude,city,country,description,imageUrl,urmomm,letJackHelp,region,hotelWebsite
Hotel Bennett,-79.93680129,32.7872929,Charleston,USA,"A trendy haven in Charleston, where millennials flock for stylish vibes and modern luxuries. Always in the know, always in style.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/13768ce8-c7f6-432a-99f4-0347993312b5/download+%281%29.jpeg?format=1000w,hotelbennett.com,https://www.jsltravelagent.com/clientintake,North America,https://www.hotelbennett.com
Zero George,-79.9295078,32.786602,Charleston,USA,"Gray brick charm meets old-school vibes, with a touch of elegance. Rent a bike, and enjoy the perfect mix of history and relaxation.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/871fbd4b-b3ce-43be-b884-fac391f23284/19783539.jpg?format=750w,zerogeorge.com,https://www.jsltravelagent.com/clientintake,North America,https://www.zerogeorge.com
The Restoration,-79.934382,32.782184,Charleston,USA,"A signature Charleston icon with its bold, light-blue entrance. This spot captures Southern elegance and hospitality at its finest.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/3a60c5e2-392a-4b57-997e-1d34834e6c9b/181a9c3a.jpeg?format=1000w,therestorationhotel.com,https://www.jsltravelagent.com/clientintake,North America,https://www.therestorationhotel.com
The Loutrel,-79.9284865,32.780273,Charleston,USA,"A hidden gem Jack Logan stumbled upon,perfectly curated and tucked into the right corner of Charleston. Gorgeous, unique, and truly one of a kind.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1b7f310f-077b-4c00-a0a8-384c87cdeb5e/1327601.jpg?format=750w,theloutrel.com,https://www.jsltravelagent.com/clientintake,North America,https://www.theloutrel.com
W Nashville,-86.7853126,36.1535396,Nashville,USA,"This hot spot in the Gulch is where architecture meets fun. A trendy, happening hotel that's always buzzing.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a598f622-ebf0-4b2d-93d1-d16c0ca89055/W-Nashville_Exterior_%C2%A9Michael-Kleinberg.jpeg?format=1000w,marriott.com/en-us/hotels/bnaaw-w-nashville,https://www.jsltravelagent.com/clientintake,North America,https://www.marriott.com/en-us/hotels/bnaaw-w-nashville
The Thompson Nashville,-86.7840306,36.1523179,Nashville,USA,"A personal favorite,this chic Nashville stay offers stunning views, especially from a corner suite. A perfect city retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/39dca9c1-bd2c-46d2-a2f2-21432a5ada9f/13855fdadf892fe9d16536e06c80babf.jpg?format=750w,hyatt.com/en-US/hotel/tennessee/thompson-nashville/bnata,https://www.jsltravelagent.com/clientintake,North America,https://www.hyatt.com/en-US/hotel/tennessee/thompson-nashville/bnata
The Grand Hotel Golf Resort & Spa,-87.9346559,30.48485,Point Clear,USA,"An Alabama getaway filled with southern charm, activities galore, and a relaxed luxury vibe. Perfect for that big, luxury Southern retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/63df2ac7-0507-4f5e-92f5-02e6648b1409/1.jpg?format=1000w,grand1847.com,https://www.jsltravelagent.com/clientintake,North America,https://www.grand1847.com
Montage Deer Valley,-111.5120823,40.6160648,Park City,USA,Snow-covered elegance meets cozy luxury in this Deer Valley treasure. Shop their cozy apparel and bask in wintery goodness.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1a60db81-0f3c-448f-8d27-052077c56b62/1920-x-1200-MDV-Winter-Signature-1920x1080.jpg?format=1000w,montagehotels.com/deervalley,https://www.jsltravelagent.com/clientintake,North America,https://www.montagehotels.com/deervalley
Amangiri,-111.6111213,37.0146225,Canyon Point,USA,"World-renowned and jaw-dropping, with scenery that will leave you breathless in the Utah desert. This is where nature and luxury collide.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/65d0cef5-25ea-40b5-903c-d64f71d4375d/210204_AmanHero_Landscape_Amangiri.jpeg?format=1000w,aman.com/resorts/amangiri,https://www.jsltravelagent.com/clientintake,North America,https://www.aman.com/resorts/amangiri
L'Auberge de Sedona,-111.7599725,34.8686072,Sedona,USA,A luxurious desert escape with all the fancy touches you expect. Desert chic at its finest.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/bf1755a1-e5fe-4bfd-a838-edafb44e33da/cocktail-hour_51_157978_v2.jpeg?format=750w,lauberge.com/sedona,https://www.jsltravelagent.com/clientintake,North America,https://www.lauberge.com/sedona
